Day,T_mean,ET,Theta_Baseline,PSI_Baseline,Irrigation_Baseline,Theta_Digital_Twin_True,Theta_Digital_Twin_Est,PSI_Digital_Twin,Irrigation_Digital_Twin,Noisy_Measurement
16,26.313137412277083,0.046446400433302684,0.2638416129099273,0.018969688770012635,0.0,0.22527173759760394,0.17139064150767774,0.06943387840178315,0.0,0.22548177601393152
17,24.961506638996728,0.04916701091533472,0.21739521247662463,0.013278782139008845,0.0,0.17882533716430127,0.21914732899881617,0.048603714881248206,0.0,0.1856448668772509
18,28.94274199778582,0.047297514826998246,0.16822820156128993,0.02916468135836389,0.12,0.15,0.18433029454483113,0.056438567608832646,0.12,0.14689733243406544
19,25.27592777343637,0.052420808201077626,0.2409306867342917,0.020415276950854724,0.0,0.22270248517300179,0.15613992305854002,0.07836860607956264,0.0,0.2259441486978862
20,23.763088895994127,0.047568962316861224,0.18850987853321405,0.026160337684247706,0.12,0.17028167697192415,0.2195708992668446,0.054858024255693846,0.0,0.1689802464282473
21,32.39694630676466,0.04810076412418073,0.26094091621635285,0.018312236378973397,0.0,0.15,0.16923382735223721,0.07024111057957524,0.12,0.15096995964992718
22,27.322671098540393,0.052646132687690174,0.2128401520921721,0.012818565465281378,0.0,0.22189923587581928,0.15853646685861558,0.09097287715026746,0.0,0.2278508061301884
23,28.20258461406377,0.052816460925242385,0.16019401940448194,0.032721555763040415,0.12,0.1692531031881291,0.22131754959387323,0.06368101400518722,0.0,0.16107089635579439
24,23.72575544135963,0.04601490818911584,0.22737755847923957,0.02290508903412829,0.0,0.15,0.16169443970629918,0.08283379415203763,0.12,0.1709238727568546
25,26.36685182642445,0.05187083271109756,0.18136265029012372,0.032223763889066434,0.12,0.22398509181088416,0.17635818168554865,0.09465470330926332,0.0,0.21392491799588714
26,28.3327677691296,0.05432924174726681,0.24949181757902616,0.022556634722346505,0.0,0.17211425909978662,0.20856032501233304,0.06625829231648432,0.0,0.1599723729719093
27,24.54701926773309,0.04238777405449623,0.19516257583175936,0.02497534680646683,0.12,0.15,0.1594905626944231,0.08651301096927277,0.12,0.16158110873500067
28,29.127094055037016,0.05312434068495801,0.2727748017772631,0.01748274276452678,0.0,0.2276122259455038,0.16791890449330343,0.10255355872262106,0.0,0.23552885288513314
29,26.198083930243584,0.050850632828633675,0.21965046109230507,0.012237919935168748,0.0,0.17448788526054576,0.22835125299977174,0.07178749110583474,0.0,0.1807290834310673
30,27.124918750620168,0.04445131795380118,0.1687998282636714,0.027838005803333052,0.12,0.15,0.18045815009403912,0.08155841605881518,0.12,0.1562834550926428
31,26.194880163311808,0.04494796223678168,0.2443485103098702,0.019486604062333136,0.0,0.22554868204619882,0.16465226252451576,0.09923228479655731,0.0,0.2254262143177297
32,33.55683455352681,0.05540460159913667,0.19940054807308852,0.019786330025788883,0.12,0.18060071980941714,0.21909643005221097,0.06946259935759011,0.0,0.17162817609455883
33,27.9595083257862,0.045586500177168976,0.2639959464739518,0.01385043101805222,0.0,0.15,0.1709621560790886,0.08398152131804582,0.12,0.15075804558193726
34,24.8268672131323,0.0502769235870566,0.21840944629678283,0.009695301712636554,0.0,0.22441349982283104,0.15869837596258618,0.10463233333675273,0.0,0.21764188270770993
35,30.467634736309567,0.038714250262188166,0.16813252270972623,0.025629040357773445,0.12,0.17413657623577444,0.21196536123932858,0.07324263333572692,0.0,0.18388777356995195
36,24.337469050086934,0.04902804703780447,0.24941827244753806,0.017940328250441413,0.0,0.15,0.182995142538067,0.08174506206669342,0.12,0.1485294261849786
37,28.626590785014265,0.05516709484605631,0.20039022540973359,0.012558229775308988,0.0,0.22097195296219554,0.1573777782633882,0.10305617293499933,0.0,0.21271698099427044
38,22.120989628360675,0.04185922510512168,0.15,0.037558229775308996,0.12,0.16580485811613924,0.20745375834589402,0.07213932105449954,0.0,0.1625909996996093
39,24.015441853304708,0.050415743125352214,0.22814077489487833,0.026290760842716296,0.0,0.15,0.16284305688585127,0.09071779261157391,0.12,0.15412931454275625
40,28.590583707607372,0.04196497549959222,0.17772503176952612,0.037428244957953244,0.12,0.2195842568746478,0.16070009961997533,0.11036774280158625,0.0,0.21394701134660807
41,30.215399739986232,0.0562488634408048,0.2557600562699339,0.02619977147056727,0.0,0.1776192813750556,0.2085805642842694,0.07725741996111038,0.0,0.16939707741939128
42,28.51410484356991,0.055656158249978625,0.19951119282912913,0.02644417505600271,0.12,0.15,0.16796494731565279,0.09327494630328399,0.12,0.15243687211491913
43,27.65305515283528,0.04098582397725514,0.2638550345791505,0.018510922539201898,0.0,0.21434384175002139,0.15913974070967596,0.11370507594844602,0.0,0.21679350746110862
44,27.096688913232132,0.04641206588855341,0.22286921060189535,0.012957645777441329,0.0,0.17335801777276624,0.21118818182743498,0.07959355316391221,0.0,0.16828858601905494
45,23.56443402889772,0.04982563274504922,0.17645714471334195,0.02472907342077036,0.12,0.15,0.16799381876807068,0.09559664377987688,0.12,0.14528961694381676
46,25.840467374815873,0.05144312889027366,0.24663151196829272,0.017310351394539254,0.0,0.2201743672549508,0.15308400660634092,0.11905464047670643,0.0,0.22249486662852716
47,26.618083687120638,0.04560600566325202,0.19518838307801906,0.01971615985552973,0.12,0.16873123836467713,0.21641108169689677,0.08333824833369449,0.0,0.15425039494970388
48,31.171366678656746,0.050683418520960165,0.26958237741476704,0.013801311898870811,0.0,0.15,0.1556396673769849,0.10551841464520205,0.12,0.13592536225623444
49,29.030854868705383,0.04608109373291096,0.21889895889380687,0.009660918329209567,0.0,0.21931658147903985,0.15,0.13051841464520206,0.0,0.21213213926651547
50,22.7108795339118,0.04383734815168009,0.17281786516089592,0.02325198574876161,0.12,0.1732354877461289,0.20691799666278463,0.09136289025164143,0.0,0.17110101622901042
51,28.972251908184386,0.056516819268993684,0.24898051700921583,0.016276390024133128,0.0,0.15,0.17042794523050292,0.10614891763638998,0.12,0.15310907565598003
52,26.84475315875105,0.04657265712817072,0.19246369774022215,0.020044541154022058,0.12,0.21348318073100633,0.1598900012436158,0.12620391701458208,0.0,0.22823674290050186
53,25.969233999082125,0.03635628721821674,0.26589104061205143,0.014031178807815441,0.0,0.16691052360283562,0.22167109846671218,0.08834274191020747,0.0,0.17548711983485582
54,29.835028866522602,0.04875049536121653,0.2295347533938347,0.00982182516547081,0.0,0.15,0.1763118618299185,0.10018681099524822,0.12,0.14840061470036572
55,31.092998567487854,0.06015704700594635,0.18078425803261816,0.019429696149161735,0.12,0.22124950463878348,0.15672220649676966,0.1218257077468634,0.0,0.2210593425597566
56,30.793840357348596,0.05209217584671145,0.2406272110266718,0.013600787304413215,0.0,0.16109245763283714,0.21509602711934311,0.08527799542280437,0.0,0.15106716398645906
57,25.482347430332084,0.04929571639831093,0.18853503517996037,0.019333269714433034,0.12,0.15,0.15206889337258672,0.10924354873651101,0.12,0.1498148686400761
58,27.072362872446355,0.05311630283974126,0.25923931878164946,0.013533288800103124,0.0,0.2207042836016891,0.1559375457001672,0.13127477588642741,0.0,0.2178176972124877
59,28.99379029421069,0.04435101621962912,0.2061230159419082,0.009473302160072188,0.0,0.16758798076194784,0.21212642135273116,0.09189234312049918,0.0,0.17081516636532873
60,30.926635381367078,0.052687176281001544,0.1617719997222791,0.028587302298932644,0.12,0.15,0.1705600689433949,0.10661230864880174,0.12,0.14172769056447676
61,26.56247728646413,0.04822518828319246,0.2290848234412775,0.02001111160925285,0.0,0.21731282371899846,0.15,0.13161230864880175,0.0,0.2225062888614102
62,27.44302307000855,0.052399969028730925,0.18085963515808506,0.029581294030210325,0.12,0.16908763543580602,0.21642154537351876,0.09212861605416123,0.0,0.18441502456583178
63,24.680995077981915,0.05971248297256929,0.24845966612935413,0.020706905821147228,0.0,0.15,0.18270360196777502,0.10077681507027372,0.12,0.14891239851543142
64,24.411380127757987,0.04675030005164268,0.18874718315678485,0.02633331424275481,0.12,0.21028751702743073,0.15680750514380468,0.12237306249837139,0.0,0.21430463424842014
65,30.437577467182592,0.0572249286301964,0.2619968831051422,0.018433319969928367,0.0,0.16353721697578805,0.20890817539459286,0.08566114374885997,0.0,0.17043865689289917
66,32.06872008571247,0.060805553594620136,0.20477195447494578,0.012903323978949856,0.0,0.15,0.16886469880685956,0.1012287943454302,0.12,0.14598779528114164
67,27.783969635258998,0.046611073024625964,0.15,0.03790332397894987,0.12,0.20919444640537987,0.15287524076866668,0.12479117396109686,0.0,0.21143537122348405
68,31.010598693676073,0.0651988390750669,0.22338892697537405,0.02653232678526491,0.0,0.1625833733807539,0.20627970154505365,0.0873538217727678,0.0,0.16270929738857184
69,29.084908075142902,0.05189215741381506,0.15819008790030714,0.047437282835111345,0.12,0.15,0.1616427303950714,0.10653245657523211,0.12,0.15097676098548832
70,26.06464073618463,0.044568239333496316,0.22629793048649208,0.033206097984577944,0.0,0.21810784258618496,0.15758747637424325,0.1277387183881105,0.0,0.2103777447476303
71,29.084186816525243,0.04125054461713005,0.18172969115299575,0.04234125240808007,0.12,0.17353960325268863,0.20531083131245315,0.08941710287167734,0.0,0.17378470499527807
72,32.61410969939791,0.057501983241335604,0.2604791465358657,0.02963887668565605,0.0,0.15,0.17296862970231577,0.10293278802051946,0.12,0.1549799829124545
73,27.892521882670145,0.04497444403102249,0.20297716329453008,0.020747213679959235,0.0,0.21249801675866442,0.161734441175035,0.12206556743300197,0.0,0.22700945283661483
74,32.69393096744202,0.05643883179190942,0.1580027192635076,0.04174585404820544,0.12,0.16752357272764193,0.22054680285118622,0.08544589720310138,0.0,0.177116280988494
75,20.140764687730766,0.04513014941167029,0.2215638874715982,0.029222097833743806,0.0,0.15,0.17602462079772668,0.09743358680423804,0.12,0.17153182457511557
76,30.465707513125672,0.054079790735006864,0.1764337380599279,0.04100522880377986,0.12,0.22486985058832973,0.17819195510927827,0.10833760924959891,0.0,0.21719637495944924
77,28.261141204714512,0.04954585457447567,0.24235394732492105,0.028703660162645903,0.0,0.17079005985332285,0.21155724059793274,0.07583632647471925,0.0,0.17951326622052963
78,27.102977948602398,0.05602843743706864,0.1928080927504454,0.032299613787423215,0.12,0.15,0.17804450463822677,0.08681407415560587,0.12,0.1518334200573835
79,28.275282329606508,0.048990323481343453,0.25677965531337676,0.02260972965119625,0.0,0.21397156256293137,0.15940156736633987,0.10711329047243594,0.0,0.2358695918951081
80,22.037293256197323,0.05261984892888865,0.2077893318320333,0.015826810755837376,0.0,0.1649812390815879,0.22866339711812317,0.07497930333070515,0.0,0.15689825622803638
81,27.340984336487463,0.051104857410189136,0.15516948290314464,0.03824206930426506,0.12,0.15,0.1585049332820413,0.09572683668968451,0.12,0.14160278157819223
82,29.07133771453524,0.04493296966718643,0.2240646254929555,0.026769448512985544,0.0,0.21889514258981088,0.15,0.12072683668968452,0.0,0.21290121613537066
83,32.43368213422455,0.04250292160001609,0.17913165582576906,0.03720362060010102,0.12,0.17396217292262445,0.20762253243399242,0.08450878568277917,0.0,0.15272321567952638
84,26.44518934517906,0.054141829658306495,0.25662873422575294,0.026042534420070713,0.0,0.15,0.15376352384967068,0.10762702375794383,0.12,0.1447424497831924
85,25.574519191320437,0.03804929581894364,0.20248690456744645,0.0182297740940495,0.0,0.21585817034169352,0.15102633221526301,0.13211385765031233,0.0,0.20826684372615653
86,26.49472886924639,0.057177044645356424,0.1644376087485028,0.03601096971979811,0.12,0.17780887452274988,0.20337707756255669,0.09247970035521863,0.0,0.17931281238751196
87,30.746206353106224,0.055390349095250375,0.22726056410314635,0.025207678803858675,0.0,0.15,0.1768528748139917,0.10405326294822279,0.12,0.15341755975777158
88,28.986253328979053,0.04844604421824416,0.17187021500789598,0.039272571299910686,0.12,0.21460965090474965,0.1608063123982031,0.12365010674912125,0.0,0.2333713592969085
89,26.410719388698883,0.04396462030924032,0.24342417078965184,0.027490799909937483,0.0,0.16616360668650548,0.2263748167414321,0.08655507472438487,0.0,0.175667845068366
90,29.539802299340067,0.04806722722108213,0.19945955048041153,0.027761024669731724,0.12,0.15,0.17623366465723686,0.09843824239576644,0.12,0.14423096344337596
91,28.291232648044122,0.049377629456183056,0.2713923232593294,0.019432717268812207,0.0,0.22193277277891788,0.1529532509644942,0.12196161691351935,0.0,0.2129486260654343
92,30.90593497159867,0.05826761769203436,0.2220146938031463,0.013602902088168545,0.0,0.1725551433227348,0.2076659637124419,0.08537313183946355,0.0,0.17747433503779986
93,25.893840718367944,0.05046019043281116,0.16374707611111194,0.031729364032612575,0.12,0.15,0.17516868288223386,0.09778879039834662,0.12,0.1367976679297936
94,27.017013560206696,0.04048822380278951,0.23328688567830078,0.022210554822828805,0.0,0.21953980956718885,0.15,0.12278879039834663,0.0,0.2378543972257324
95,26.823675540603528,0.04800787145852683,0.19279866187551126,0.025811223885073183,0.12,0.17905158576439933,0.23048163715489645,0.08595215327884265,0.0,0.1908459869716122
96,23.609455155603644,0.04869360965465783,0.26479079041698445,0.018067856719551228,0.0,0.15,0.19014338834625583,0.09088045910571474,0.12,0.14530824347895294
97,28.88836083119373,0.04359393007457337,0.21609718076232662,0.012647499703685859,0.0,0.2213063903453422,0.1550548663051417,0.1133530259531439,0.0,0.2041750450544334
98,28.783165816539668,0.050232794547934195,0.17250325068775324,0.026395874359809245,0.12,0.1777124602707688,0.19962866352287728,0.11353869419170526,0.0,0.19125118401242294
99,28.015340369927383,0.04706990718297835,0.24227045613981904,0.018477112051866473,0.0,0.15,0.18778937570270277,0.11964400634035388,0.12,0.14885460154747382
100,27.29623859987456,0.04215411955302123,0.1952005489568407,0.020876837573446133,0.0,0.22293009281702167,0.1582423254473177,0.14052284361669504,0.0,0.23530825593675628
